Categoria,Rating,Promedio descargas
Aventura,1.2,440.0
Aventura,1.3,1445.0
Aventura,1.4,2282.0
Aventura,1.5,4283.0
Aventura,1.6,9376.0
Aventura,1.7,1438.0
Aventura,1.8,27789.0
Aventura,1.9,194856.0
Aventura,2.0,56227.0
Aventura,2.1,14564.0
Aventura,2.2,31671.0
Aventura,2.3,19822.0
Aventura,2.4,127745.0
Aventura,2.5,84087.0
Aventura,2.6,82488.0
Aventura,2.7,250976.0
Aventura,2.8,218259.0
Aventura,2.9,233951.0
Aventura,3.0,231222.0
Aventura,3.1,181292.0
Aventura,3.2,175016.0
Aventura,3.3,238652.0
Aventura,3.4,373808.0
Aventura,3.5,318021.0
Aventura,3.6,475393.0
Aventura,3.7,479465.0
Aventura,3.8,364950.0
Aventura,3.9,1021462.0
Aventura,4.0,956796.0
Aventura,4.1,1519157.0
Aventura,4.2,1023098.0
Aventura,4.3,838353.0
Aventura,4.4,1363487.0
Aventura,4.5,800197.0
Aventura,4.6,334035.0
Aventura,4.7,218157.0
Aventura,4.8,107535.0
Aventura,4.9,33367.0
Aventura,5.0,2999.0
Belleza,0.0,764.0
Belleza,1.0,1039.0
Belleza,1.1,8141.0
Belleza,1.2,3389.0
Belleza,1.3,7101.0
Belleza,1.4,3748.0
Belleza,1.5,4254.0
Belleza,1.6,21927.0
Belleza,1.7,41262.0
Belleza,1.8,9912.0
Belleza,1.9,96436.0
Belleza,2.0,35270.0
Belleza,2.1,20470.0
Belleza,2.2,9135.0
Belleza,2.3,43668.0
Belleza,2.4,73969.0
Belleza,2.5,245869.0
Belleza,2.6,14564.0
Belleza,2.7,39200.0
Belleza,2.8,71365.0
Belleza,2.9,155788.0
Belleza,3.0,91407.0
Belleza,3.1,70256.0
Belleza,3.2,40676.0
Belleza,3.3,92897.0
Belleza,3.4,134655.0
Belleza,3.5,114574.0
Belleza,3.6,209834.0
Belleza,3.7,258339.0
Belleza,3.8,343347.0
Belleza,3.9,269570.0
Belleza,4.0,146511.0
Belleza,4.1,435642.0
Belleza,4.2,210099.0
Belleza,4.3,552478.0
Belleza,4.4,148004.0
Belleza,4.5,129916.0
Belleza,4.6,107121.0
Belleza,4.7,104073.0
Belleza,4.8,50337.0
Belleza,4.9,45365.0
Belleza,5.0,2062.0
Board,0.0,1501.0
Board,1.0,109.0
Board,1.2,3329.0
Board,1.3,852.0
Board,1.4,5156.0
Board,1.5,5785.0
Board,1.6,2289.0
Board,1.7,3150.0
Board,1.8,1480.0
Board,1.9,3725.0
Board,2.0,17486.0
Board,2.1,8847.0
Board,2.2,37278.0
Board,2.3,11336.0
Board,2.4,84999.0
Board,2.5,170831.0
Board,2.6,47269.0
Board,2.7,36587.0
Board,2.8,139273.0
Board,2.9,171263.0
Board,3.0,80244.0
Board,3.1,57168.0
Board,3.2,318219.0
Board,3.3,148364.0
Board,3.4,134943.0
Board,3.5,146404.0
Board,3.6,223617.0
Board,3.7,307325.0
Board,3.8,180880.0
Board,3.9,620473.0
Board,4.0,688353.0
Board,4.1,772911.0
Board,4.2,2341402.0
Board,4.3,1819496.0
Board,4.4,992873.0
Board,4.5,1191354.0
Board,4.6,906346.0
